event_id,timestamp,employee_id,employee_name,role,store_id,action_type,amount,order_id,customer_ref,payment_method,original_txn_id,discount_pct,note
evt-0000233,2026-05-25T12:19:48,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,36.9,ORD-448116,CUST-10296,card,,0.0,
evt-0000266,2026-05-25T12:20:41,EMP-1013,Ines Voss,Store Manager,STORE-B,discount,30.31,ORD-685804,CUST-10206,card,,9.0,
evt-0000260,2026-05-25T12:21:09,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,87.9,ORD-373897,CUST-10232,card,,0.0,
evt-0000150,2026-05-25T12:23:33,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,20.52,ORD-791737,CUST-10200,card,,0.0,
evt-0000133,2026-05-25T12:24:02,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,39.87,ORD-694808,CUST-10279,card,,0.0,
evt-0000046,2026-05-25T12:24:40,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,47.42,ORD-235838,CUST-10117,card,,0.0,
evt-0000153,2026-05-25T12:25:01,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,71.91,ORD-438773,CUST-10355,cash,,0.0,
evt-0000128,2026-05-25T12:25:21,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,11.48,ORD-406577,CUST-10103,card,,0.0,
evt-0000094,2026-05-25T12:26:39,EMP-1003,Priya Zahra,Cashier,STORE-B,void,10.93,ORD-440598,,card,evt-0000079,0.0,
evt-0000035,2026-05-25T12:28:04,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,32.44,ORD-970720,CUST-10277,cash,,0.0,
evt-0000112,2026-05-25T12:28:08,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,39.97,ORD-468733,CUST-10377,card,,0.0,
evt-0000207,2026-05-25T12:29:29,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,105.49,ORD-327198,CUST-10351,card,,0.0,
evt-0000173,2026-05-25T12:29:37,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,8.32,ORD-193607,CUST-10371,card,,0.0,
evt-0000170,2026-05-25T12:31:00,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,24.69,ORD-169729,CUST-10332,card,,0.0,
evt-0000141,2026-05-25T12:32:53,EMP-1008,Amara Chan,Returns Desk,STORE-B,refund,51.49,ORD-975709,CUST-10037,card,evt-0000125,0.0,
evt-0000114,2026-05-25T12:36:10,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,9.45,ORD-696819,CUST-10365,cash,,0.0,
evt-0000051,2026-05-25T12:36:39,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,103.03,ORD-690716,CUST-10015,card,,0.0,
evt-0000125,2026-05-25T12:37:17,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,51.49,ORD-763130,CUST-10037,cash,,0.0,
evt-0000031,2026-05-25T12:37:47,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,19.48,ORD-545071,CUST-10043,card,,0.0,
evt-0000004,2026-05-25T12:39:56,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,74.83,ORD-163152,CUST-10349,wallet,,0.0,
evt-0000227,2026-05-25T12:40:28,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,28.41,ORD-289919,CUST-10139,card,,0.0,
evt-0000092,2026-05-25T12:42:53,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,8.25,ORD-575468,CUST-10314,card,,0.0,
evt-0000026,2026-05-25T12:44:38,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,32.29,ORD-713684,CUST-10221,card,,0.0,
evt-0000033,2026-05-25T12:45:08,EMP-1001,Amara Zahra,Cashier,STORE-B,refund,19.48,ORD-579434,CUST-10043,cash,evt-0000031,0.0,
evt-0000008,2026-05-25T12:45:09,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,51.84,ORD-778125,CUST-10380,card,,0.0,
evt-0000028,2026-05-25T12:46:18,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,22.14,ORD-968176,CUST-10132,wallet,,0.0,
evt-0000182,2026-05-25T12:46:21,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,30.54,ORD-308019,CUST-10202,card,,0.0,
evt-0000254,2026-05-25T12:46:47,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,13.62,ORD-140954,CUST-10066,card,,0.0,
evt-0000006,2026-05-25T12:47:25,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,14.89,ORD-619281,CUST-10268,cash,,0.0,
evt-0000292,2026-05-25T12:48:09,EMP-1015,Leila Farah,Store Manager,STORE-B,discount,24.08,ORD-729982,CUST-10106,card,,12.0,
evt-0000108,2026-05-25T12:49:03,EMP-1005,Tobias Duarte,Returns Desk,STORE-B,refund,26.46,ORD-226068,CUST-10156,cash,evt-0000098,0.0,
evt-0000084,2026-05-25T12:49:33,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,26.47,ORD-887366,CUST-10320,wallet,,0.0,
evt-0000190,2026-05-25T12:50:33,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,25.67,ORD-692380,CUST-10128,cash,,0.0,
evt-0000027,2026-05-25T12:51:38,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,29.96,ORD-556171,CUST-10058,wallet,,0.0,
evt-0000282,2026-05-25T12:53:24,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,27.05,ORD-247816,CUST-10166,card,,0.0,
evt-0000289,2026-05-25T12:55:23,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,70.56,ORD-199631,CUST-10086,card,,0.0,
evt-0000136,2026-05-25T12:56:42,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,72.4,ORD-643944,CUST-10316,wallet,,0.0,
evt-0000287,2026-05-25T12:59:15,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,71.98,ORD-454492,CUST-10083,card,,0.0,
evt-0000250,2026-05-25T13:00:51,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,discount,25.32,ORD-625737,CUST-10331,card,,13.7,
evt-0000155,2026-05-25T13:01:42,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,12.74,ORD-598380,CUST-10082,cash,,0.0,
evt-0000283,2026-05-25T13:02:22,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,41.17,ORD-349431,CUST-10076,card,,0.0,
evt-0000239,2026-05-25T13:02:29,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,27.25,ORD-610079,CUST-10169,cash,,0.0,
evt-0000261,2026-05-25T13:02:35,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,31.54,ORD-940105,CUST-10315,cash,,0.0,
evt-0000116,2026-05-25T13:03:17,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,36.85,ORD-543739,CUST-10247,card,,0.0,
evt-0000132,2026-05-25T13:06:16,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,63.34,ORD-263120,CUST-10272,card,,0.0,
evt-0000256,2026-05-25T13:06:50,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,37.17,ORD-119140,CUST-10067,card,,0.0,
evt-0000055,2026-05-25T13:07:14,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,30.5,ORD-313322,CUST-10007,card,,0.0,
evt-0000288,2026-05-25T13:07:43,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,43.95,ORD-216411,CUST-10128,cash,,0.0,
evt-0000115,2026-05-25T13:07:45,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,29.92,ORD-353066,CUST-10146,card,,0.0,
evt-0000048,2026-05-25T13:08:25,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,26.13,ORD-701056,CUST-10266,cash,,0.0,
evt-0000197,2026-05-25T13:08:52,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,discount,47.27,ORD-980167,CUST-10209,card,,12.9,
evt-0000075,2026-05-25T13:09:01,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,19.54,ORD-679403,CUST-10224,card,,0.0,
evt-0000047,2026-05-25T13:10:31,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,68.56,ORD-980069,CUST-10323,card,,0.0,
evt-0000025,2026-05-25T13:11:05,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,64.83,ORD-560076,CUST-10306,card,,0.0,
evt-0000200,2026-05-25T13:11:11,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,15.63,ORD-480348,CUST-10380,card,,0.0,
evt-0000021,2026-05-25T13:13:46,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,34.47,ORD-924603,CUST-10109,card,,0.0,
evt-0000018,2026-05-25T13:16:52,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,74.02,ORD-261484,CUST-10140,card,,0.0,
evt-0000053,2026-05-25T13:17:11,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,14.54,ORD-967950,CUST-10333,card,,0.0,
evt-0000156,2026-05-25T13:20:01,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,29.8,ORD-892558,CUST-10114,card,,0.0,
evt-0000177,2026-05-25T13:20:01,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,6.62,ORD-209893,CUST-10292,cash,,0.0,
evt-0000064,2026-05-25T13:21:36,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,14.26,ORD-108853,CUST-10248,cash,,0.0,
evt-0000224,2026-05-25T13:24:41,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,13.18,ORD-845866,CUST-10314,card,,0.0,
evt-0000297,2026-05-25T13:26:50,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,33.69,ORD-506247,CUST-10218,card,,0.0,
evt-0000263,2026-05-25T13:28:56,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,15.09,ORD-982980,CUST-10266,card,,0.0,
evt-0000236,2026-05-25T13:30:49,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,12.58,ORD-718730,CUST-10178,card,,0.0,
evt-0000241,2026-05-25T13:37:16,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,7.28,ORD-242881,CUST-10097,card,,0.0,
evt-0000271,2026-05-25T13:37:16,EMP-1014,Theo Chan,Store Manager,STORE-B,sale,8.63,ORD-210169,CUST-10319,card,,0.0,
evt-0000069,2026-05-25T13:39:27,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,13.83,ORD-214510,CUST-10328,card,,0.0,
evt-0000168,2026-05-25T13:39:42,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,12.79,ORD-330865,CUST-10184,card,,0.0,
evt-0000187,2026-05-25T13:41:21,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,51.75,ORD-497878,CUST-10318,card,,0.0,
evt-0000244,2026-05-25T13:42:06,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,33.14,ORD-352693,CUST-10339,cash,,0.0,
evt-0000174,2026-05-25T13:43:41,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,void,30.85,ORD-662763,,card,evt-0000151,0.0,
evt-0000249,2026-05-25T13:44:19,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,discount,20.79,ORD-967191,CUST-10069,card,,10.8,
evt-0000144,2026-05-25T13:44:23,EMP-1008,Amara Chan,Returns Desk,STORE-B,refund,51.04,ORD-278850,CUST-10132,cash,evt-0000124,0.0,
evt-0000118,2026-05-25T13:44:41,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,34.54,ORD-320926,CUST-10071,cash,,0.0,
evt-0000204,2026-05-25T13:45:32,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,85.97,ORD-763351,CUST-10023,card,,0.0,
evt-0000147,2026-05-25T13:46:20,EMP-1008,Amara Chan,Returns Desk,STORE-B,manual_override,9.55,ORD-585181,,card,,0.0,price override
evt-0000019,2026-05-25T13:48:12,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,38.53,ORD-507134,CUST-10232,card,,0.0,
evt-0000251,2026-05-25T13:49:37,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,discount,13.83,ORD-401502,CUST-10063,card,,7.9,
evt-0000212,2026-05-25T13:50:12,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,refund,28.82,ORD-427128,CUST-10309,card,evt-0000202,0.0,
evt-0000195,2026-05-25T13:52:45,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,refund,25.67,ORD-272903,CUST-10128,card,evt-0000190,0.0,
evt-0000077,2026-05-25T13:53:40,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,19.82,ORD-855405,CUST-10398,card,,0.0,
evt-0000082,2026-05-25T13:54:18,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,36.84,ORD-306170,CUST-10346,card,,0.0,
evt-0000290,2026-05-25T13:57:23,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,36.45,ORD-413905,CUST-10270,card,,0.0,
evt-0000099,2026-05-25T14:07:02,EMP-1005,Tobias Duarte,Returns Desk,STORE-B,sale,22.17,ORD-611770,CUST-10343,cash,,0.0,
evt-0000202,2026-05-25T14:09:05,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,28.82,ORD-724592,CUST-10309,cash,,0.0,
evt-0000291,2026-05-25T14:09:50,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,24.83,ORD-211318,CUST-10361,card,,0.0,
evt-0000139,2026-05-25T14:13:05,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,40.34,ORD-337588,CUST-10274,card,,0.0,
evt-0000034,2026-05-25T14:14:13,EMP-1001,Amara Zahra,Cashier,STORE-B,void,26.23,ORD-116226,,card,evt-0000024,0.0,
evt-0000240,2026-05-25T14:14:44,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,9.13,ORD-515659,CUST-10140,card,,0.0,
evt-0000275,2026-05-25T14:15:54,EMP-1014,Theo Chan,Store Manager,STORE-B,sale,48.49,ORD-317531,CUST-10126,card,,0.0,
evt-0000265,2026-05-25T14:15:59,EMP-1013,Ines Voss,Store Manager,STORE-B,discount,46.49,ORD-778252,CUST-10345,card,,6.3,
evt-0000238,2026-05-25T14:23:56,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,5.81,ORD-928919,CUST-10130,card,,0.0,
evt-0000305,2026-05-25T14:26:02,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,20.32,ORD-461949,CUST-10274,card,,0.0,
evt-0000217,2026-05-25T14:28:48,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,27.86,ORD-249711,CUST-10303,card,,0.0,
evt-0000070,2026-05-25T14:31:21,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,17.09,ORD-783004,CUST-10172,card,,0.0,
evt-0000201,2026-05-25T14:31:41,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,59.45,ORD-904447,CUST-10301,card,,0.0,
evt-0000001,2026-05-25T14:33:33,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,5.43,ORD-113614,CUST-10369,card,,0.0,
evt-0000247,2026-05-25T14:36:30,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,refund,13.18,ORD-293176,CUST-10314,cash,evt-0000224,0.0,
evt-0000255,2026-05-25T14:37:32,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,23.27,ORD-702428,CUST-10112,wallet,,0.0,
evt-0000105,2026-05-25T14:38:44,EMP-1005,Tobias Duarte,Returns Desk,STORE-B,sale,36.09,ORD-632426,CUST-10152,cash,,0.0,
evt-0000293,2026-05-25T14:39:31,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,25.1,ORD-969373,CUST-10024,card,,0.0,
evt-0000231,2026-05-25T14:43:56,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,6.62,ORD-146590,CUST-10305,card,,0.0,
evt-0000214,2026-05-25T14:44:49,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,discount,24.29,ORD-370918,CUST-10237,card,,8.8,
evt-0000230,2026-05-25T14:45:07,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,13.34,ORD-342923,CUST-10053,card,,0.0,
evt-0000286,2026-05-25T14:45:52,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,10.6,ORD-367644,CUST-10188,card,,0.0,
evt-0000221,2026-05-25T14:46:13,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,33.29,ORD-681536,CUST-10117,card,,0.0,
evt-0000081,2026-05-25T14:48:23,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,24.7,ORD-683428,CUST-10151,card,,0.0,
evt-0000093,2026-05-25T14:51:00,EMP-1003,Priya Zahra,Cashier,STORE-B,refund,10.82,ORD-218548,CUST-10013,card,evt-0000071,0.0,
evt-0000123,2026-05-25T14:52:48,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,15.42,ORD-469015,CUST-10324,cash,,0.0,
evt-0000157,2026-05-25T14:52:49,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,18.95,ORD-582065,CUST-10301,card,,0.0,
evt-0000165,2026-05-25T14:53:51,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,52.07,ORD-198784,CUST-10343,cash,,0.0,
evt-0000298,2026-05-25T14:54:05,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,25.63,ORD-526282,CUST-10063,card,,0.0,
evt-0000134,2026-05-25T14:55:13,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,27.54,ORD-493693,CUST-10267,cash,,0.0,
evt-0000208,2026-05-25T14:55:39,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,10.17,ORD-968010,CUST-10114,card,,0.0,
evt-0000038,2026-05-25T14:56:22,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,20.71,ORD-379012,CUST-10005,card,,0.0,
